GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaddem,tn.esprit.spring.kaddem.config,MyDatabaseConfig,0,3,0,0,0,1,0,1,0,1
kaddem,tn.esprit.spring.kaddem.dto,ContratDTO,66,0,0,0,9,0,14,0,14,0
kaddem,tn.esprit.spring.kaddem.dto,DepartementDTO,26,0,0,0,5,0,6,0,6,0
kaddem,tn.esprit.spring.kaddem.dto,EquipeDTO,36,0,0,0,6,0,8,0,8,0
kaddem,tn.esprit.spring.kaddem.dto,EtudiantDTO,36,10,0,0,4,3,7,3,7,3
kaddem,tn.esprit.spring.kaddem.dto,UniversiteDTO,26,0,0,0,5,0,6,0,6,0
kaddem,tn.esprit.spring.kaddem.dto,AssignmentDTO,26,0,0,0,5,0,6,0,6,0
kaddem,tn.esprit.spring.kaddem,KaddemApplication,5,3,0,0,2,1,1,1,1,1
kaddem,tn.esprit.spring.kaddem.controllers,DepartementRestController,68,6,0,0,18,1,6,1,6,1
kaddem,tn.esprit.spring.kaddem.controllers,EquipeRestController,76,6,0,0,21,1,8,1,8,1
kaddem,tn.esprit.spring.kaddem.controllers,UniversiteRestController,47,6,0,0,11,1,7,1,7,1
kaddem,tn.esprit.spring.kaddem.controllers,ContratRestController,119,3,0,0,30,1,11,1,11,1
kaddem,tn.esprit.spring.kaddem.controllers,EtudiantRestController,110,6,0,0,28,1,10,1,10,1
kaddem,tn.esprit.spring.kaddem.entities,Universite,36,3,0,0,16,2,8,1,8,1
kaddem,tn.esprit.spring.kaddem.entities,Niveau,0,34,0,0,0,2,0,1,0,1
kaddem,tn.esprit.spring.kaddem.entities,Contrat,76,64,0,0,4,15,5,14,5,14
kaddem,tn.esprit.spring.kaddem.entities,DetailEquipe,49,3,0,0,21,2,10,1,10,1
kaddem,tn.esprit.spring.kaddem.entities,Option,0,44,0,0,0,2,0,1,0,1
kaddem,tn.esprit.spring.kaddem.entities,Equipe,53,3,0,0,7,1,11,1,11,1
kaddem,tn.esprit.spring.kaddem.entities,Departement,16,23,0,0,7,11,3,6,3,6
kaddem,tn.esprit.spring.kaddem.entities,Etudiant,24,90,0,0,0,23,6,12,6,12
kaddem,tn.esprit.spring.kaddem.entities,Specialite,0,44,0,0,0,2,0,1,0,1
kaddem,tn.esprit.spring.kaddem.services,DepartementNotFoundException,9,0,0,0,4,0,2,0,2,0
kaddem,tn.esprit.spring.kaddem.services,EquipeServiceImpl,177,10,28,0,43,2,24,2,10,2
kaddem,tn.esprit.spring.kaddem.services,ContratServiceImpl,222,40,26,0,47,9,18,7,5,7
kaddem,tn.esprit.spring.kaddem.services,UniversiteServiceImpl,88,7,8,0,20,3,11,2,7,2
kaddem,tn.esprit.spring.kaddem.services,EtudiantServiceImpl,105,12,10,0,25,3,12,3,7,3
kaddem,tn.esprit.spring.kaddem.services,DepartementServiceImpl,22,45,1,1,3,11,2,7,1,7
